date,game,seat,name,role,lover,dying,deathday,lucky,win,see,badge,season,hand,extra_score,follow
2017/10/2,7,9,表水,N,,,,,1,,,1,,,
2017/10/2,7,10,意犹,V,,W,2,,1,,,1,,,
2017/10/2,7,11,未知玩家8,WW,,Ex,2,,,,,1,,,
2017/10/2,7,12,未知玩家6,V,,,,KG6,1,,,1,,,
2017/10/2,7,13,亚林,I,,,,,1,,,1,,,
2017/10/2,7,14,大红豆,S,,K,3,,1,,,1,,,
2017/10/2,7,15,小丽,W,,N,1,,,,,1,,,
2017/10/2,8,1,大红豆,H,,K,4,KR1,,,,1,,-1,
2017/10/2,8,2,未知玩家1,V,,E,4,,,,,1,,,
2017/10/2,8,3,小丽,W,,P,2,,1,,,1,,,
2017/10/2,8,4,春春,V,,E,3,,,,,1,,,
2017/10/2,8,5,小丹,V,,H,4,,,,,1,,,
2017/10/2,8,6,Leoben,W,,Ex,2,,1,,,1,,,
2017/10/2,8,7,未知玩家3,I,,,,,,,,1,,,
2017/10/2,8,8,黄黄,Witch,,,,,,,,1,,2,
2017/10/2,8,9,表水,V,,K,2,,,,,1,,,
2017/10/2,8,10,意犹,W,,Ex,1,,1,,,1,,,
2017/10/2,8,11,未知玩家11,W,,,,,1,,,1,,,
2017/10/2,8,12,亚林,S,,K,3,,,,,1,,,
2017/10/2,9,1,大红豆,H,,,,,,,,1,,,
2017/10/2,9,2,未知玩家1,V,,,,KR1,,,,1,,,
2017/10/2,9,3,小丽,W,,,,,1,,,1,,,
2017/10/2,9,4,春春,I,,,,,,,,1,,,
2017/10/2,9,5,小丹,W,,P,3,,1,,,1,,,
2017/10/2,9,6,Leoben,V,,E,3,,,,,1,,,
2017/10/2,9,7,未知玩家3,S,,K,3,,,,,1,,,
2017/10/2,9,8,黄黄,W,,E,2,,1,,,1,,,
2017/10/2,9,9,表水,W,,Ex,1,,1,,,1,,,
2017/10/2,9,10,意犹,Witch,,,,,,,1,1,,2,
2017/10/2,9,11,未知玩家11,V,,E,3,,,,,1,,,
2017/10/2,9,12,亚林,V,,K,2,,,,,1,,,
