date,game,seat,name,role,lover,dying,deathday,lucky,win,see,badge,season,hand,extra_score,follow
2017/10/2,1,1,未知玩家0,V,,,,,1,,,1,,,
2017/10/2,1,2,小丽,WW,,Ex,1,,,,,1,,,
2017/10/2,1,3,未知玩家1,F,,,,,,,,1,,,13
2017/10/2,1,4,未知玩家2,W,,N,3,,,,,1,,,
2017/10/2,1,5,春春,N,,,,,1,,,1,,2,
2017/10/2,1,6,小丹,V,,,,KG3,1,,,1,,,
2017/10/2,1,7,Leoben,V,,K,2,,1,,,1,,,
2017/10/2,1,8,未知玩家3,G,,,,,1,,,1,,,
2017/10/2,1,9,表水,Witch,,,,,1,,,1,,2,
2017/10/2,1,10,意犹,W,,Ex,2,,,,,1,,,
2017/10/2,1,11,未知玩家5,S,,W,1,,1,,,1,,,
2017/10/2,1,12,未知玩家6,V,,,,,1,,,1,,,
2017/10/2,1,13,亚林,W,,P,2,,,,,1,,,
2017/10/2,2,1,未知玩家0,S,,K,2,,,,,1,,,
2017/10/2,2,2,小丽,F,,K,4,,,,,1,,,9
2017/10/2,2,3,未知玩家1,V,,E,3,,,,,1,,,
2017/10/2,2,4,未知玩家2,N,,K,3,,,,,1,,,
2017/10/2,2,5,春春,V,,K,5,,,,,1,,,
2017/10/2,2,6,小丹,W,,,,,1,,,1,,,
2017/10/2,2,7,Leoben,W,,Ex,2,,1,,,1,,,
2017/10/2,2,8,未知玩家3,Witch,,W,1,,,,,1,,,
2017/10/2,2,9,表水,G,,,,,,,,1,,,
2017/10/2,2,10,意犹,WW,,,,,1,,,1,,,
2017/10/2,2,11,未知玩家5,V,,Ex,1,,,,,1,,,
2017/10/2,2,12,未知玩家6,V,,Ex,4,,,,,1,,,
2017/10/2,2,13,亚林,W,,,,,1,,,1,,,
2017/10/2,3,1,未知玩家0,W,,E,5,,,,,1,,,
2017/10/2,3,2,小丽,N,,K,2,,1,,,1,,,
2017/10/2,3,3,未知玩家1,G,,,,,1,,,1,,,
2017/10/2,3,4,未知玩家2,V,,,,,1,,,1,,,
2017/10/2,3,5,春春,V,,K,5,,1,,,1,,,
2017/10/2,3,6,小丹,Witch,,K,1,,1,,,1,,,
2017/10/2,3,7,Leoben,F,,E,3,,,,,1,,,9
2017/10/2,3,8,未知玩家3,W,,Ex,4,,,,,1,,,
2017/10/2,3,9,表水,W,,Ex,2,,,,,1,,,
2017/10/2,3,10,意犹,V,,K,4,,1,,,1,,,
2017/10/2,3,11,未知玩家5,W,,Ex,1,,,,,1,,,
2017/10/2,3,12,未知玩家6,S,,,,KG3,1,,,1,,,
2017/10/2,3,13,亚林,V,,,,,1,,,1,,,
2017/10/2,4,1,未知玩家0,WW,,Ex,2,,1,,,1,,,
2017/10/2,4,2,小丽,W,,Ex,3,,1,,,1,,,
2017/10/2,4,3,未知玩家1,G,,K,6,,,,,1,,,
2017/10/2,4,4,未知玩家2,I,,,,,,,,1,,,
2017/10/2,4,5,春春,S,,K,4,,,,,1,,,
2017/10/2,4,6,未知玩家8,V,,E,4,KR1,,,,1,,,
2017/10/2,4,7,小丹,Witch,,K,2,,,,,1,,,
2017/10/2,4,8,Leoben,W,,,,,1,,,1,,,
2017/10/2,4,9,未知玩家3,V,,K,5,,,,,1,,,
2017/10/2,4,10,表水,N,,K,3,,,,,1,,,
2017/10/2,4,11,未知玩家7,W,,N,1,,1,,,1,,,
2017/10/2,4,12,意犹,V,,E,6,,,,1,1,,,
2017/10/2,4,13,未知玩家5,V,,W,2,,,,,1,,,
2017/10/2,4,14,未知玩家6,V,,K,6,,,,,1,,,
2017/10/2,4,15,亚林,W,,Ex,5,,1,,,1,,,
2017/10/2,5,1,未知玩家0,S,,W,2,,,,,1,,,
2017/10/2,5,2,小丽,V,,K,2,,,,,1,,,
2017/10/2,5,3,未知玩家1,W,,P,5,,1,,,1,,,
2017/10/2,5,4,未知玩家9,G,,,,,,,,1,,,
2017/10/2,5,5,春春,V,,E,4,,,,,1,,,
2017/10/2,5,6,未知玩家8,N,,K,5,,,,,1,,,
2017/10/2,5,7,小丹,W,,,,,1,,,1,,,
2017/10/2,5,8,Leoben,W,,Ex,3,KR1,1,,,1,,,
2017/10/2,5,9,未知玩家3,WW,,Ex,2,,1,,,1,,,
2017/10/2,5,10,高佩,I,,K,4,,,,,1,,,
2017/10/2,5,11,未知玩家7,V,,K,3,,,,,1,,,
2017/10/2,5,12,意犹,V,,E,5,,,,,1,,,
2017/10/2,5,13,未知玩家5,W,,Ex,1,,1,,1,1,,,
2017/10/2,5,14,未知玩家6,V,,K,6,,,,,1,,,
2017/10/2,5,15,亚林,Witch,,,,,,,,1,,2,
2017/10/2,6,1,未知玩家0,Witch,,,,,,,,1,,-1,
2017/10/2,6,2,小丽,S,,E,1,,,,,1,,,
2017/10/2,6,3,未知玩家1,W,,,,,1,,,1,,,
2017/10/2,6,4,未知玩家9,W,,,,,1,,,1,,,
2017/10/2,6,5,春春,V,,P,2,,,,,1,,,
2017/10/2,6,6,小丹,I,,,,,,,,1,,,
2017/10/2,6,7,Leoben,V,,,,,,,,1,,,
2017/10/2,6,8,未知玩家3,H,,,,,,,,1,,,
2017/10/2,6,9,意犹,V,,E,2,,,,,1,,,
2017/10/2,6,10,未知玩家8,W,,,,,1,,1,1,,,
2017/10/2,6,11,未知玩家6,V,,K,2,,,,,1,,,
2017/10/2,6,12,亚林,W,,,,,1,,,1,,,
2017/10/2,7,1,未知玩家1,V,,E,5,,1,,,1,,,
2017/10/2,7,2,未知玩家9,W,,E,3,,,,,1,,,
2017/10/2,7,3,春春,V,,K,5,KR1,1,,,1,,,
2017/10/2,7,4,高佩,W,,E,6,,,,,1,,,
2017/10/2,7,5,小丹,W,,E,4,,,,,1,,,
2017/10/2,7,6,Leoben,Witch,,K,2,,1,,,1,,,
2017/10/2,7,7,未知玩家3,V,,K,4,,1,,,1,,,
2017/10/2,7,8,未知玩家7,G,,,,,1,,,1,,,
