date,game,seat,name,role,lover,dying,deathday,lucky,win,see,badge,season,hand,extra_score,follow
2017/10/3,1,1,表水,I,,,,,1,,,1,,,
2017/10/3,1,2,小丹,Witch,,K,4,,1,,,1,,-1,
2017/10/3,1,3,Leoben,V,,,,,1,,,1,,,
2017/10/3,1,4,铁头蒙,W,,Ex,1,,,,,1,,,
2017/10/3,1,5,灵辉,V,,K,3,,1,,,1,,,
2017/10/3,1,6,小丽,S,,K,2,KR1,1,,,1,,,
2017/10/3,1,7,帅博后,W,,E,4,,,,,1,,,
2017/10/3,1,8,未知玩家8,V,,P,4,,1,,,1,,,
2017/10/3,1,9,意犹,H,,E,3,,1,,,1,,2,
2017/10/3,1,10,未知玩家13,W,,H,3,,,,,1,,,
2017/10/3,1,11,大红豆,W,,Ex,2,,,,,1,,,
2017/10/3,1,12,未知玩家14,V,,,,,1,,,1,,,
2017/10/3,2,1,表水,W,,Ex,2,,1,,,1,,,
2017/10/3,2,2,小丹,H,,K,2,,,,,1,,-1,
2017/10/3,2,3,Leoben,W,,Ex,3,,1,,,1,,,
2017/10/3,2,4,铁头蒙,V,,P,2,,,,,1,,,
2017/10/3,2,5,灵辉,Witch,,,,,,,,1,,-1,
2017/10/3,2,6,小丽,V,,K,3,,,,,1,,,
2017/10/3,2,7,帅博后,V,,H,2,,,,,1,,,
2017/10/3,2,8,未知玩家8,S,,,,,,,,1,,,
2017/10/3,2,9,意犹,W,,E,1,,1,,1,1,,,
2017/10/3,2,10,未知玩家13,W,,,,,1,,,1,,,
2017/10/3,2,11,大红豆,I,,,,,,,,1,,,
2017/10/3,2,12,未知玩家14,V,,K,4,KR1,,,,1,,,
2017/10/3,3,1,校长,V,,E,3,,1,,,1,,,
2017/10/3,3,2,灵辉,W,,Ex,5,,,,,1,,,
2017/10/3,3,3,表水,V,,W,1,,1,,,1,,,
2017/10/3,3,4,帅博后,WW,,Ex,1,,,,,1,,,
2017/10/3,3,5,铁头蒙,W,,Ex,4,,,,,1,,,
2017/10/3,3,6,意犹,Witch,,,,,1,,,1,,2,
2017/10/3,3,7,未知玩家8,V,,,,,1,,3,1,,,
2017/10/3,3,8,大红豆,S,,K,4,,1,,2,1,,,
2017/10/3,3,9,未知玩家15,I,,K,5,,1,,,1,,,
2017/10/3,3,10,小丽,W,,P,3,,,,,1,,,
2017/10/3,3,11,未知玩家16,V,,K,2,,1,,,1,,,
2017/10/3,3,12,未知玩家14,V,,,,,1,,,1,,,
2017/10/3,3,13,黄黄,N,,K,3,KR1,1,,1,1,,,
2017/10/3,3,14,小丹,G,,,,,1,,,1,,,
2017/10/3,3,15,Leoben,W,,Ex,2,,,,,1,,,
2017/10/3,4,1,Leoben,W,,E,3,,,,,1,,,
2017/10/3,4,2,灵辉,W,,E,5,,,,,1,,,
2017/10/3,4,3,表水,W,,Ex,1,,,,,1,,,
2017/10/3,4,4,曲爷,V,,,,KR1,1,,,1,,,
2017/10/3,4,5,帅博后,Witch,,K,3,,1,,,1,,,
2017/10/3,4,6,高佩,I,,E,4,,1,,,1,,,
2017/10/3,4,7,未知玩家16,W,,Ex,2,,,,,1,,,
2017/10/3,4,8,未知玩家15,S,,K,2,,1,,,1,,,
2017/10/3,4,9,小丽,H,,,,,1,,,1,,,
2017/10/3,4,10,校长,V,,,,,1,,,1,,,
2017/10/3,4,11,黄黄,V,,K,4,,1,,,1,,,
2017/10/3,4,12,小丹,V,,K,5,,1,,,1,,,
