date,game,seat,name,role,lover,dying,deathday,lucky,win,see,badge,season,hand,extra_score,follow
2017/10/5,1,1,小丹,W,,,,,1,,,1,,,
2017/10/5,1,2,Leoben,V,,,,,,,,1,,,
2017/10/5,1,3,未知玩家15,I,,K,3,,,,,1,,,
2017/10/5,1,4,未知玩家4,V,,,,,,,,1,,,
2017/10/5,1,5,高佩,W,,Ex,2,,1,,1,1,,,
2017/10/5,1,6,未知玩家5,W,,Ex,3,,1,,,1,,,
2017/10/5,1,7,曲爷,V,,,,,,,,1,,,
2017/10/5,1,8,未知玩家10,H,,K,4,,,,,1,,,
2017/10/5,1,9,表水,W,,P,2,,1,,,1,,,
2017/10/5,1,10,校长,S,,E,1,KR1,,,,1,,,
2017/10/5,1,11,黄黄,Witch,,K,2,,,,,1,,2,
2017/10/5,2,1,小丹,W,,,,,1,,,1,,,
2017/10/5,2,2,Leoben,H,,E,3,,,,,1,,-2,
2017/10/5,2,3,未知玩家15,W,,Ex,1,,1,,,1,,,
2017/10/5,2,4,春春,W,,,,,1,,,1,,,
2017/10/5,2,5,高佩,V,,,,,,,,1,,,
2017/10/5,2,6,高佩,I,,H,3,,,,,1,,,
2017/10/5,2,7,未知玩家5,V,,K,1,,,,,1,,,
2017/10/5,2,8,曲爷,S,,K,2,,,,,1,,,
2017/10/5,2,9,未知玩家10,V,,P,2,,,,,1,,,
2017/10/5,2,10,表水,W,,Ex,2,,1,,,1,,,
2017/10/5,2,11,未知玩家12,V,,,,,,,,1,,,
2017/10/5,2,12,校长,Witch,,K,2,,,,,1,,-1,
2017/10/5,3,1,小丹,Witch,,,,,,,,1,,2,
2017/10/5,3,2,Leoben,V,,,,,,,,1,,,
2017/10/5,3,3,未知玩家15,S,,K,2,,,,,1,,,
2017/10/5,3,4,春春,V,,K,3,,,,,1,,,
2017/10/5,3,5,未知玩家17,I,,E,3,,,,,1,,,
2017/10/5,3,6,高佩,W,,E,2,,1,,,1,,,
2017/10/5,3,7,未知玩家5,W,,Ex,1,,1,,,1,,,
2017/10/5,3,8,曲爷,V,,,,KR1,,,,1,,,
2017/10/5,3,9,未知玩家10,H,,K,4,,,,,1,,,
2017/10/5,3,10,表水,W,,,,,1,,,1,,,
2017/10/5,3,11,未知玩家12,V,,,,,,,,1,,,
