date,game,seat,name,role,lover,dying,deathday,lucky,win,see,badge,season,hand,extra_score,follow
2017/10/5,3,12,校长,W,,P,2,,1,,,1,,,
2017/10/5,4,1,小丹,V,,K,4,,1,,,1,,,
2017/10/5,4,2,Leoben,V,,,,,1,,,1,,,
2017/10/5,4,3,未知玩家15,W,,Ex,3,,,,,1,,,
2017/10/5,4,4,春春,W,,E,4,,,,,1,,,
2017/10/5,4,5,未知玩家4,V,,E,2,,1,,,1,,,
2017/10/5,4,6,高佩,W,,Ex,1,,,,,1,,,
2017/10/5,4,7,未知玩家5,I,,,,,1,,,1,,,
2017/10/5,4,8,曲爷,V,,K,3,,1,,,1,,,
2017/10/5,4,9,未知玩家10,S,,K,2,,1,,,1,,,
2017/10/5,4,10,表水,Witch,,,,,1,,,1,,2,
2017/10/5,4,11,未知玩家12,H,,,,,1,,,1,,,
2017/10/5,4,12,帅博后,W,,P,2,,,,,1,,,
2017/10/5,5,1,小丹,W,,,,,1,,,1,,,
2017/10/5,5,2,Leoben,W,,,,,1,,,1,,,
2017/10/5,5,3,未知玩家15,V,,,,,,,1,1,,,
2017/10/5,5,4,春春,W,,,,,1,,,1,,,
2017/10/5,5,5,未知玩家4,W,,E,1,,1,,,1,,,
2017/10/5,5,6,高佩,V,,,,,,,,1,,,
2017/10/5,5,7,未知玩家5,S,,P,1,,,,,1,,,
2017/10/5,5,8,曲爷,V,,,,,,,,1,,,
2017/10/5,5,9,未知玩家10,V,,,,,,,,1,,,
2017/10/5,5,10,表水,Witch,,K,1,,,,,1,,-5,
2017/10/5,5,11,未知玩家12,I,,K,2,,,,,1,,,
2017/10/5,5,12,帅博后,H,,,,,,,,1,,,
2017/10/5,6,1,小丹,V,,,,,,,,1,,,
2017/10/5,6,2,Leoben,Witch,,K,2,,,,,1,,,
2017/10/5,6,3,未知玩家15,W,,Ex,2,,1,,,1,,,
2017/10/5,6,4,春春,V,,,,,,,,1,,,
2017/10/5,6,5,未知玩家17,H,,K,4,KR1,,,,1,,-2,
2017/10/5,6,6,未知玩家19,W,,Ex,3,,1,,,1,,,
2017/10/5,6,7,未知玩家5,S,,,,,,,,1,,,
2017/10/5,6,8,高佩,V,,,,,,,,1,,,
2017/10/5,6,9,未知玩家21,V,,K,3,,,,,1,,,
2017/10/5,6,10,未知玩家10,I,,H,4,,,,,1,,,
2017/10/5,6,11,未知玩家12,W,,E,1,,1,,,1,,,
2017/10/5,6,12,帅博后,W,,,,,1,,,1,,,
2017/10/5,7,1,小丹,V,,,,,1,,,1,,,
2017/10/5,7,2,Leoben,W,,Ex,2,,,,,1,,,
2017/10/5,7,3,未知玩家18,G,,,,,1,,,1,,,
2017/10/5,7,4,春春,S,,W,1,,1,,,1,,,
2017/10/5,7,5,未知玩家15,Witch,,K,3,KG2,1,,,1,,,
2017/10/5,7,6,未知玩家19,V,,E,4,,1,,,1,,,
2017/10/5,7,7,未知玩家5,W,,E,5,,,,,1,,,
2017/10/5,7,8,未知玩家20,W,,E,3,,,,,1,,,
2017/10/5,7,9,未知玩家21,WW,,Ex,1,,,,,1,,,
2017/10/5,7,10,未知玩家10,N,,N,4,,1,,,1,,,
2017/10/5,7,11,未知玩家12,V,,,,,1,,,1,,,
2017/10/5,7,12,帅博后,V,,K,5,"KR1,KG4",1,,,1,,,
2017/10/5,8,1,小丹,V,,,,,1,,,1,,,
2017/10/5,8,2,Leoben,W,,Ex,1,,,,,1,,,
2017/10/5,8,3,未知玩家18,W,,N,2,,,,,1,,,
2017/10/5,8,4,春春,V,,,,,1,,,1,,,
2017/10/5,8,5,未知玩家15,V,,,,,1,,,1,,,
2017/10/5,8,6,未知玩家19,WW,,Ex,4,,,,,1,,,
2017/10/5,8,7,未知玩家5,Witch,,K,2,,1,,,1,,2,
2017/10/5,8,8,未知玩家20,V,,,,,1,,,1,,,
2017/10/5,8,9,未知玩家21,S,,K,3,,1,,,1,,,
2017/10/5,8,10,未知玩家10,N,,,,,1,,,1,,,
2017/10/5,8,11,未知玩家12,G,,,,KR1,1,,,1,,,
2017/10/5,8,12,帅博后,W,,P,2,,,,,1,,,
2017/10/5,9,1,小丹,Witch,,K,2,,1,,,1,,,
2017/10/5,9,2,Leoben,N,,,,,1,,,1,,,
2017/10/5,9,3,未知玩家18,V,,W,1,,1,,,1,,,
2017/10/5,9,4,春春,S,,K,4,,1,,,1,,,
2017/10/5,9,5,未知玩家15,V,,,,KR5,1,,,1,,,
2017/10/5,9,6,未知玩家19,V,,K,3,,1,,,1,,,
2017/10/5,9,7,未知玩家5,W,,E,5,,,,,1,,,
2017/10/5,9,8,未知玩家20,WW,,Ex,1,,,,,1,,,
2017/10/5,9,9,未知玩家21,W,,Ex,3,,,,,1,,,
2017/10/5,9,10,未知玩家10,G,,,,,1,,,1,,,
2017/10/5,9,11,未知玩家12,W,,N,2,,,,,1,,,
2017/10/5,9,12,帅博后,V,,E,4,,1,,,1,,,
2017/10/5,10,1,小丹,W,,Ex,4,,,,,1,,,
2017/10/5,10,2,Leoben,S,,K,2,,1,,,1,,,
2017/10/5,10,3,未知玩家18,G,,,,KR1,1,,2,1,,,
2017/10/5,10,4,春春,W,,N,2,,,,,1,,,
2017/10/5,10,5,未知玩家15,Witch,,K,1,,1,,,1,,-1,
2017/10/5,10,6,未知玩家19,V,,,,,1,,,1,,,
2017/10/5,10,7,未知玩家5,V,,P,1,,1,,1,1,,,
2017/10/5,10,8,未知玩家20,WW,,Ex,1,,,,,1,,,
2017/10/5,10,9,未知玩家21,V,,W,1,,1,,,1,,,
2017/10/5,10,10,未知玩家10,V,,,,,1,,,1,,,
2017/10/5,10,11,未知玩家12,N,,,,KG3,1,,,1,,,
2017/10/5,10,12,帅博后,W,,E,3,,,,,1,,,
